case_id,target_workflow_category,actual_category,correct,overall_pass,expected_tools,actual_tools,tool_selection_pass,expected_tool_order,actual_tool_sequence,tool_order_observable,tool_order_pass,latency_seconds,errored,error,timed_out,recursion_hit,unsafe_retry_after_rejection,prompt_tokens,completion_tokens,total_tokens,final_answer,langsmith_run_id,run_index
create-future-event,fast_path_mutate,fast_path_mutate,True,True,"check_conflicts,create_event","check_conflicts,create_event",True,"check_conflicts,create_event","check_conflicts,create_event",True,True,27.47,False,,False,False,False,32466.0,2581.0,35047.0,Leo’s soccer practice has been added to **family‑1**’s calendar for tomorrow (2026‑09‑06) from **4:00 PM to 5:00 PM Pacific Time**. No scheduling conflicts were found.,01a074d9-94fb-75f2-9f73-28c6b64bd541,1.0
reject-past-event,fast_path_reject,fast_path_unexpected_mutation_attempt,False,False,,"check_conflicts,create_event",False,,"check_conflicts,create_event",True,True,45.34,False,,False,False,False,32224.0,4747.0,36971.0,"I’m sorry, but I can’t create an event that’s scheduled for yesterday—its start time is already in the past.  

Would you like to add Leo’s soccer practice for a future date and time instead? If so, please let me know the new date and time you’d like to use, and I’ll add it for you.",01a074da-02cb-7f50-aeb1-e187241c292e,1.0
list-child-events,fast_path_read,fast_path_read,True,True,list_events,list_events,True,,list_events,True,True,12.1,False,,False,False,False,21291.0,1110.0,22401.0,"Leo does not have any scheduled activities for today (September 5, 2026) in the family‑1 calendar.",01a074da-b586-75a3-b70a-0dee03eba9f0,1.0
same-child-conflict,fast_path_reject,timed_out_incomplete,False,False,"check_conflicts,list_events",,False,"list_events,check_conflicts",,True,False,60.04,False,,True,False,False,0.0,0.0,0.0,,01a074da-e674-77c0-8fb2-d140749e5472,1.0
different-children-overlap,fast_path_mutate,pending_fixture,,,"check_conflicts,create_event",,,"check_conflicts,create_event",,,,,,,,,,,,,,,
same-parent-conflict,fast_path_reject,fast_path_reject,True,False,"check_conflicts,list_events",,False,"list_events,check_conflicts",,True,False,13.86,False,,False,False,False,10586.0,2666.0,13252.0,"I want to make sure I set this up correctly for you. Could you please provide the details for each activity you’d like to assign to parent‑1, such as:

* The title of each activity  
* The proposed start and end dates/times (including time zone)  
* Any associated child or location  
* Whether these are new events you’d like to create, or existing events you’d like to re‑assign  

Once I have that information I can check for conflicts and complete the assignment.",01a074db-d28d-76b2-a9b8-0d8b9291184f,1.0
soft-delete-event,fast_path_mutate,fast_path_mutate,True,True,"delete_event,list_events","delete_event,list_events",True,"list_events,delete_event","list_events,delete_event",True,True,12.11,False,,False,False,False,32941.0,2017.0,34958.0,"Leo’s soccer practice scheduled for today (2026‑09‑05) has been deleted from the family‑1 calendar, and any associated reminders have been cancelled. Let me know if there’s anything else you’d like to adjust.",01a074dc-0a52-74b2-a53f-94177e07c873,1.0
restore-event,fast_path_mutate,fast_path_mutate,True,True,"list_events,restore_event","list_events,restore_event",True,"list_events,restore_event","list_events,restore_event",True,True,15.2,False,,False,False,False,32904.0,2851.0,35755.0,Leo’s soccer practice has been successfully restored for today (September 5) from 4:00 PM – 5:00 PM Pacific Time.,01a074dc-3b39-7213-bb07-a062f1e0d0c3,1.0
draft-both-parent-reminder,fast_path_mutate,fast_path_mutate,True,True,"list_events,schedule_day_of_reminders","list_events,schedule_day_of_reminders",True,"list_events,schedule_day_of_reminders","list_events,schedule_day_of_reminders",True,True,17.06,False,,False,False,False,32997.0,3561.0,36558.0,reminder drafts saved,01a074dc-780e-78b0-bf3e-86a330c58863,1.0
reject-past-reminder,fast_path_reject,pending_fixture,,,list_events,,,,,,,,,,,,,,,,,,
